Strain	Accession	Date	Region	Country	Division	Authors	Journal	Title	Url	CTiter	CTiterSub	Clade Membership	Clock Length	DTiter	DTiterSub	Ep	Lbi	Ne	Num Date	Raw Date
A/Umea/6/2009	EPI230049	2009-10-01	Europe	Sweden	unknown	Swedish Institute For Infectious Disease Control	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	1.00	0.00	2.00	2009.75	2009-10-02
A/HongKong/H090-678-V1/2009	EPI326501	2009-07-07	China	Hong Kong	unknown	Other Database Import	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	1.00	0.01	1.00	2009.51	2009-07-07
A/Kawasaki/105/2009	EPI225992	2009-07-19	Japan Korea	Japan	unknown	National Institute Of Infectious Diseases (Niid)	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	1.00	0.01	3.00	2009.55	2009-07-20
A/Guam/NHRC0024/2009	EPI274953	2009-09-26	Oceania	Guam	unknown	Other Database Import	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	2.00	0.00	3.00	2009.74	2009-09-26
A/Israel/MF4683/2009	EPI255921	2009-07-31	West Asia	Israel	unknown	National Institute For Medical Research	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	1.00	0.01	2.00	2009.58	2009-08-XX
A/SouthAustralia/2001/2009	EPI182561	2009-05-31	Oceania	Australia	unknown	Who Collaborating Centre For Reference And Research On Influenza	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	2.00	0.02	2.00	2009.41	2009-05-XX
A/Southaustralia/162/2012	EPI417288	2012-10-07	Oceania	Australia	unknown	Who Collaborating Centre For Reference And Research On Influenza	unknown	unknown	unknown	0.00	0.10	Unassigned	0.01	0.00	0.10	5.00	0.00	6.00	2012.77	2012-10-06
A/Brisbane/80/2009	EPI215846	2009-06-30	Oceania	Australia	unknown	Who Collaborating Centre For Reference And Research On Influenza	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	2.00	0.01	2.00	2009.50	2009-07-01
A/Pune/NIV8489/2009	EPI247090	2009-08-18	South Asia	India	unknown	Other Database Import	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	1.00	0.01	3.00	2009.63	2009-08-XX
A/Bangalore/NIV310/2009	EPI247052	2009-07-30	South Asia	India	unknown	Other Database Import	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	1.00	0.01	1.00	2009.58	2009-07-XX
A/Hiroshima/200/2009	EPI212314	2009-06-12	Japan Korea	Japan	unknown	Other Database Import	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	1.00	0.01	3.00	2009.45	2009-06-13
A/Kyrgyzstan/15/2010	EPI295468	2010-02-14	West Asia	Kyrgyzstan	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	1.00	0.00	2.00	2010.13	2010-XX-XX
A/Guatemala/175/2010	EPI295471	2010-09-16	North America	Guatemala	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	1.00	0.00	5.00	2010.71	2010-09-17
A/Oman/SQUH-37/2010	EPI622729	2010-01-11	West Asia	Oman	unknown	Other Database Import	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	1.00	0.00	2.00	2010.03	2010-01-11
A/Chile/2851/2009	EPI287929	2009-06-19	South America	Chile	unknown	Other Database Import	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	1.00	0.01	1.00	2009.47	2009-06-20
A/Chile/180/2009	EPI287857	2009-05-28	South America	Chile	unknown	Other Database Import	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	1.00	0.02	1.00	2009.41	2009-05-29
A/Bangladesh/2872/2009	EPI243887	2009-10-20	South Asia	Bangladesh	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	1.00	0.00	3.00	2009.80	2009-10-21
A/HongKong/5099/2009	EPI210556	2009-07-15	China	Hong Kong	unknown	National Institute For Medical Research	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	1.00	0.01	2.00	2009.54	2009-07-15
A/Lorestan/1599/2009	EPI217489	2009-07-26	West Asia	Iran	unknown	Other Database Import	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	1.00	0.01	2.00	2009.57	2009-07-27
A/Waikato/2/2010	EPI272028	2010-01-03	Oceania	New Zealand	unknown	Who Collaborating Centre For Reference And Research On Influenza	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	1.00	0.00	4.00	2010.01	2010-01-04
A/KathmanduBGN/7-3/2009	EPI232298	2009-11-12	South Asia	Nepal	unknown	National Institute For Medical Research	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	1.00	0.00	2.00	2009.87	2009-11-13
A/Guam/NHRC0018/2009	EPI274905	2009-07-22	Oceania	Guam	unknown	Other Database Import	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	1.00	0.01	1.00	2009.56	2009-07-22
A/Brazil/1394/2010	EPI278883	2010-03-25	South America	Brazil	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	2.00	0.00	2.00	2010.23	2010-03-25
A/Nanjing/2/2010	EPI272292	2010-06-30	China	China	unknown	Other Database Import	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	3.00	0.00	4.00	2010.50	2010-06-30
A/Tomsk/273-MA3/2010	EPI542369	2010-03-23	West Asia	Russia	unknown	Other Database Import	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	3.00	0.00	1.00	2010.23	2010-XX-XX
A/StPetersburg/1/2009	EPI217164	2009-09-20	West Asia	Russia	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	1.00	0.00	1.00	2009.72	2009-09-21
A/Senegal/24/2010	EPI331002	2010-02-12	Africa	Senegal	unknown	National Institute For Medical Research	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	1.00	0.00	1.00	2010.12	2010-02-12
A/Catalonia/S1196/2009	EPI212021	2009-08-03	Europe	Spain	unknown	Other Database Import	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	1.00	0.01	1.00	2009.59	2009-08-04
A/Kyrgyzstan/243/2009	EPI216957	2009-08-18	West Asia	Kyrgyzstan	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	1.00	0.01	2.00	2009.63	2009-08-18
A/Armenia/N53/2009	EPI232241	2009-11-10	West Asia	Armenia	unknown	National Institute For Medical Research	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	1.00	0.00	2.00	2009.86	2009-11-10
A/Lisbon/118/2009	EPI256841	2009-12-28	Europe	Portugal	unknown	National Institute For Medical Research	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	1.00	0.00	2.00	2009.99	2009-12-28
A/Istanbul/30/2009	EPI180341	2009-05-13	West Asia	Turkey	unknown	Other Database Import	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	1.00	0.02	1.00	2009.37	2009-05-14
A/Kosrae/2003/2009	EPI215876	2009-08-31	Oceania	Micronesia	unknown	Who Collaborating Centre For Reference And Research On Influenza	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	1.00	0.01	1.00	2009.67	2009-08-31
A/Brazil/7029/2010	EPI280323	2010-06-30	South America	Brazil	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	1.00	0.00	4.00	2010.50	2010-07-01
A/Guam/6687/2009	EPI220996	2009-10-08	Oceania	Guam	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	1.00	0.00	1.00	2009.77	2009-10-08
A/Guam/NHRC0009/2009	EPI274833	2009-10-01	Oceania	Guam	unknown	Other Database Import	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	1.00	0.00	1.00	2009.75	2009-10-01
A/Singapore/ON201/2009	EPI380297	2009-06-15	Southeast Asia	Singapore	unknown	Other Database Import	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	1.00	0.01	1.00	2009.45	2009-06-15
A/Qatar/88/2009	EPI210450	2009-06-16	West Asia	Qatar	unknown	National Institute For Medical Research	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	1.00	0.01	1.00	2009.46	2009-06-17
A/Yucatan/2458/2009	EPI542983	2009-11-04	North America	Mexico	unknown	Universidad Autonoma De Yucatan	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	1.00	0.00	1.00	2009.85	2009-11-05
A/Habana/10291/2010	EPI283771	2010-04-01	North America	Cuba	unknown	Other Database Import	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	1.00	0.00	5.00	2010.25	2010-04-XX
A/Tajikistan/306/2009	EPI256013	2009-12-03	West Asia	Tajikistan	unknown	National Institute For Medical Research	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	1.00	0.00	2.00	2009.93	2009-12-04
A/Netherlands/1093/2009	EPI269404	2009-09-04	Europe	Netherlands	unknown	Other Database Import	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	1.00	0.01	1.00	2009.68	2009-09-04
A/Catalonia/S1353/2009	EPI212161	2009-09-09	Europe	Spain	unknown	Other Database Import	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	1.00	0.01	2.00	2009.69	2009-09-09
A/Finland/836N/2010	EPI545126	2010-01-01	Europe	Finland	unknown	Other Database Import	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	1.00	0.00	2.00	2010.00	2010-XX-XX
A/Assam/2585/2010	EPI687705	2010-06-16	South Asia	India	unknown	Other Database Import	unknown	unknown	unknown	0.00	0.03	Unassigned	0.00	0.00	0.03	1.00	0.00	2.00	2010.46	2010-06-16
A/Albania/2193/2009	EPI255845	2009-10-12	Europe	Albania	unknown	National Institute For Medical Research	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	1.00	0.00	1.00	2009.78	2009-10-12
A/Osaka/2032/2009	EPI230107	2009-09-16	Japan Korea	Japan	unknown	National Institute Of Infectious Diseases (Niid)	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	1.00	0.01	1.00	2009.71	2009-09-16
A/Kikuyu/185/2009	EPI446064	2009-10-27	Africa	Kenya	unknown	Kenya Medical Research Institute	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	1.00	0.00	1.00	2009.82	2009-10-27
A/Peru/107/2013	EPI460807	2013-04-18	South America	Peru	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.00	0.00	Unassigned	0.01	0.00	0.00	2.00	0.00	1.00	2013.30	2013-04-19
A/Jeddah/3666/2010	EPI408179	2010-11-10	West Asia	Saudi Arabia	unknown	Other Database Import	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	2.00	0.00	2.00	2010.86	2010-11-10
A/Bolivia/272/2010	EPI273768	2010-04-25	South America	Bolivia	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	1.00	0.00	1.00	2010.32	2010-04-26
A/Brazil/3931/2010	EPI278886	2010-03-15	South America	Brazil	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	1.00	0.00	1.00	2010.21	2010-03-16
A/CzechRepublic/112/2011	EPI360008	2011-10-24	Europe	Czech Republic	unknown	Other Database Import	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	1.00	0.00	5.00	2011.82	2011-10-25
A/CzechRepublic/111/2011	EPI359997	2011-10-24	Europe	Czech Republic	unknown	Other Database Import	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	1.00	0.00	5.00	2011.82	2011-10-25
A/Sydney/DD3-03/2010	EPI320931	2010-04-25	Oceania	Australia	unknown	Other Database Import	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	1.00	0.00	5.00	2010.32	2010-04-26
A/Chiba/17/2010	EPI295378	2010-08-10	Japan Korea	Japan	unknown	National Institute Of Infectious Diseases (Niid)	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	2.00	0.00	3.00	2010.61	2010-08-10
A/Yamagata/165/2010	EPI297024	2009-08-06	Japan Korea	Japan	unknown	Other Database Import	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	1.00	0.01	3.00	2009.60	2009-08-06
A/Hyderabad/NIV51/2009	EPI247062	2009-05-01	South Asia	India	unknown	Other Database Import	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	0.00	0.02	2.00	2009.33	2009-05-XX
A/Nashik/NIV10348/2009	EPI259023	2009-09-25	South Asia	India	unknown	Other Database Import	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	1.00	0.00	3.00	2009.73	2009-09-XX
A/Manitoba/RV2105/2009	EPI303643	2009-06-08	North America	Canada	unknown	Other Database Import	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	0.00	0.02	5.00	2009.44	2009-06-09
A/Guam/NHRC0004/2009	EPI274809	2009-08-06	Oceania	Guam	unknown	Other Database Import	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	0.00	0.01	3.00	2009.60	2009-08-06
A/Lao/JP1424/2009	EPI226160	2009-07-19	Southeast Asia	Laos	unknown	National Institute Of Infectious Diseases (Niid)	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	0.00	0.01	3.00	2009.55	2009-07-19
A/HongKong/H090-779-V20/2009	EPI362254	2009-08-07	China	Hong Kong	unknown	Other Database Import	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	0.00	0.01	3.00	2009.60	2009-08-08
A/Nepal/VIROAF5CS/2012	EPI610576	2012-08-26	South Asia	Nepal	unknown	Other Database Import	unknown	unknown	unknown	0.00	0.00	Unassigned	0.01	0.00	0.00	0.00	0.00	6.00	2012.65	2012-08-26
A/Colombia/330/2009	EPI181739	2009-05-02	South America	Colombia	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	0.00	0.02	1.00	2009.33	2009-05-02
A/Mexico/2964/2009	EPI232961	2009-03-11	North America	Mexico	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	0.00	0.04	1.00	2009.19	2009-03-12
A/Auckland/1/2009	EPI177276	2009-04-25	Oceania	New Zealand	unknown	Who Collaborating Centre For Reference And Research On Influenza	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	0.00	0.03	1.00	2009.31	2009-04-25
A/SaoPaulo/1454/2009	EPI182280	2009-04-28	South America	Brazil	unknown	Other Database Import	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	0.00	0.03	1.00	2009.33	2009-04-29
A/Wisconsin/629-D02455/2009	EPI214834	2009-05-02	North America	USA	unknown	Other Database Import	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	0.00	0.02	1.00	2009.33	2009-05-02
A/Beijing/1/2009	EPI180257	2008-12-04	China	China	unknown	Other Database Import	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	0.00	0.12	1.00	2008.93	2008-12-04
A/HongKong/415742/2009	EPI307225	2009-04-29	China	Hong Kong	unknown	Other Database Import	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	1.00	0.03	2.00	2009.33	2009-04-30
A/HongKong/1/2009	EPI212345	2009-04-29	China	Hong Kong	unknown	Other Database Import	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	0.00	0.03	2.00	2009.33	2009-04-30
A/England/401/2009	EPI323558	2009-06-02	Oceania	Australia	unknown	Other Database Import	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	0.00	0.02	3.00	2009.42	2009-06-XX
A/California/7/2009	EPI705910	2009-04-09	North America	USA	unknown	National Institute For Biological Standards And Control (Nibsc)	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	0.00	0.03	6.00	2009.27	2009-04-09
A/NorthernIreland/1/2010	EPI301431	2010-10-28	Europe	United Kingdom	unknown	National Institute For Medical Research	unknown	unknown	unknown	0.00	0.00	Unassigned	0.01	0.00	0.00	2.00	0.00	3.00	2010.83	2010-10-29
A/California/4/2009	EPI176470	2009-04-01	North America	USA	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	0.00	0.03	4.00	2009.25	2009-04-01
A/Kisumu/56/2009	EPI443017	2009-07-01	Africa	Kenya	unknown	Kenyatta University	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	0.00	0.01	2.00	2009.50	2009-07-02
A/Kisumu/61/2009	EPI443067	2009-07-01	Africa	Kenya	unknown	Kenya Medical Research Institute	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	0.00	0.01	3.00	2009.50	2009-07-02
A/Hamburg/5/2009	EPI350266	2009-04-18	Europe	Germany	unknown	Other Database Import	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	0.00	0.03	2.00	2009.30	2009-04-XX
A/Korea/1/2009	EPI178942	2009-04-27	Japan Korea	South Korea	unknown	Other Database Import	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	0.00	0.03	1.00	2009.32	2009-04-27
A/Yokohama/1000/2009	EPI226536	2009-05-08	Japan Korea	Japan	unknown	National Institute Of Infectious Diseases (Niid)	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	0.00	0.02	2.00	2009.35	2009-05-08
A/Christchurch/2/2009	EPI178514	2009-04-28	Oceania	New Zealand	unknown	Who Collaborating Centre For Reference And Research On Influenza	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	0.00	0.03	1.00	2009.33	2009-04-29
A/Catalonia/79/2009	EPI182874	2009-04-28	Europe	Spain	unknown	Other Database Import	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	0.00	0.03	1.00	2009.33	2009-04-29
A/Bangalore/NIV236/2009	EPI247044	2009-06-30	South Asia	India	unknown	Other Database Import	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	1.00	0.01	4.00	2009.50	2009-06-XX
A/Taiwan/90138/2011	EPI382392	2011-01-01	China	Taiwan	unknown	Other Database Import	unknown	unknown	unknown	0.00	0.00	Unassigned	0.01	0.00	0.00	2.00	0.00	3.00	2011.00	2011-01-XX
A/Victoria/2081/2009	EPI233074	2009-07-20	Oceania	Australia	unknown	Who Collaborating Centre For Reference And Research On Influenza	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	3.00	0.01	3.00	2009.55	2009-07-21
A/Lagos/WRAIR1984T/2009	EPI282783	2009-11-18	Africa	Nigeria	unknown	Other Database Import	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	1.00	0.00	3.00	2009.88	2009-11-18
A/Lagos/WRAIR1984N/2009	EPI282775	2009-11-18	Africa	Nigeria	unknown	Other Database Import	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	1.00	0.00	3.00	2009.88	2009-11-18
A/Guangdong/5303/2010	EPI354485	2010-05-10	China	China	unknown	Other Database Import	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	1.00	0.00	6.00	2010.36	2010-05-10
A/HongKong/1886/2010	EPI278508	2010-04-20	China	Hong Kong	unknown	National Institute For Medical Research	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	1.00	0.00	6.00	2010.30	2010-04-20
A/Okinawa/74/2010	EPI295383	2010-10-08	Japan Korea	Japan	unknown	National Institute Of Infectious Diseases (Niid)	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	2.00	0.00	6.00	2010.77	2010-10-08
A/Guangdong/296/2010	EPI385961	2010-07-29	China	China	unknown	Other Database Import	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	2.00	0.00	5.00	2010.57	2010-07-29
A/Chiba/12/2010	EPI295380	2010-07-10	Japan Korea	Japan	unknown	National Institute Of Infectious Diseases (Niid)	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	2.00	0.00	7.00	2010.52	2010-07-10
A/HongKong/2212/2010	EPI279895	2010-07-15	China	Hong Kong	unknown	National Institute For Medical Research	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	2.00	0.00	6.00	2010.54	2010-07-16
