Accession,Length,Host,Protein,Subtype,Country,Region,Month,Day,Year,Virus,Age,BirthYear
ABR28859,469,Human,NA,H3N2,New Zealand,S,6,8,2002,Influenza A virus (A/Auckland/608/2002(H3N2))XX,45,1957
ABR28860,498,Human,NP,H3N2,New Zealand,S,6,8,2002,Influenza A virus (A/Auckland/608/2002(H3N2))XX,45,1957
ABR28864,757,Human,PB1,H3N2,New Zealand,S,6,8,2002,Influenza A virus (A/Auckland/608/2002(H3N2))XX,45,1957
ABR28870,469,Human,NA,H3N2,New Zealand,S,6,18,2002,Influenza A virus (A/Auckland/609/2002(H3N2))XX,34,1968
ABR28874,716,Human,PA,H3N2,New Zealand,S,6,18,2002,Influenza A virus (A/Auckland/609/2002(H3N2))XX,34,1968
ABR28877,759,Human,PB2,H3N2,New Zealand,S,6,18,2002,Influenza A virus (A/Auckland/609/2002(H3N2))XX,34,1968
ABU80332,252,Human,M1,H3N2,New Zealand,S,7,29,2002,Influenza A virus (A/Auckland/610/2002(H3N2))XX,2,2000
ABU80334,469,Human,NA,H3N2,New Zealand,S,7,29,2002,Influenza A virus (A/Auckland/610/2002(H3N2))XX,2,2000
ABU80340,90,Human,PB1-F2,H3N2,New Zealand,S,7,29,2002,Influenza A virus (A/Auckland/610/2002(H3N2))XX,2,2000
ABR15940,566,Human,HA,H3N2,New Zealand,S,9,9,2002,Influenza A virus (A/Auckland/611/2002(H3N2))XX,3,1999
ABR15943,469,Human,NA,H3N2,New Zealand,S,9,9,2002,Influenza A virus (A/Auckland/611/2002(H3N2))XX,3,1999
ABR15945,230,Human,NS1,H3N2,New Zealand,S,9,9,2002,Influenza A virus (A/Auckland/611/2002(H3N2))XX,3,1999
ABR15947,716,Human,PA,H3N2,New Zealand,S,9,9,2002,Influenza A virus (A/Auckland/611/2002(H3N2))XX,3,1999
ABR28881,469,Human,NA,H3N2,New Zealand,S,8,14,2002,Influenza A virus (A/Auckland/612/2002(H3N2))XX,3,1999
ABR28885,716,Human,PA,H3N2,New Zealand,S,8,14,2002,Influenza A virus (A/Auckland/612/2002(H3N2))XX,3,1999
ABR15954,469,Human,NA,H3N2,New Zealand,S,8,1,2002,Influenza A virus (A/Auckland/613/2002(H3N2))XX,10,1992
ABR15958,716,Human,PA,H3N2,New Zealand,S,8,1,2002,Influenza A virus (A/Auckland/613/2002(H3N2))XX,10,1992
ABR15959,757,Human,PB1,H3N2,New Zealand,S,8,1,2002,Influenza A virus (A/Auckland/613/2002(H3N2))XX,10,1992
ABR15960,90,Human,PB1-F2,H3N2,New Zealand,S,8,1,2002,Influenza A virus (A/Auckland/613/2002(H3N2))XX,10,1992
ABR15962,566,Human,HA,H3N2,New Zealand,S,1,14,2002,Influenza A virus (A/Auckland/614/2002(H3N2))XX,3,1999
ABR15969,716,Human,PA,H3N2,New Zealand,S,1,14,2002,Influenza A virus (A/Auckland/614/2002(H3N2))XX,3,1999
ABR15970,757,Human,PB1,H3N2,New Zealand,S,1,14,2002,Influenza A virus (A/Auckland/614/2002(H3N2))XX,3,1999
ABR15971,90,Human,PB1-F2,H3N2,New Zealand,S,1,14,2002,Influenza A virus (A/Auckland/614/2002(H3N2))XX,3,1999
ABR15972,759,Human,PB2,H3N2,New Zealand,S,1,14,2002,Influenza A virus (A/Auckland/614/2002(H3N2))XX,3,1999
ABS50064,566,Human,HA,H3N2,New Zealand,S,3,4,2002,Influenza A virus (A/Auckland/615/2002(H3N2))XX,6,1996
ABS50072,757,Human,PB1,H3N2,New Zealand,S,3,4,2002,Influenza A virus (A/Auckland/615/2002(H3N2))XX,6,1996
ABV72859,329,Human,HA,H3N2,Austria,N,12,29,2003,Influenza A virus (A/Austria/134419/2003(H3N2))XX,0,2003
ABV72861,329,Human,HA,H3N2,Austria,N,1,9,2004,Influenza A virus (A/Austria/135553/2004(H3N2))XX,12,1992
ABV72862,329,Human,HA,H3N2,Austria,N,1,12,2004,Influenza A virus (A/Austria/135794/2004(H3N2))XX,49,1955
ABV72873,329,Human,HA,H3N2,Austria,N,1,22,2004,Influenza A virus (A/Austria/138112/2004(H3N2))XX,28,1976
ABV72876,329,Human,HA,H3N2,Austria,N,1,26,2004,Influenza A virus (A/Austria/138560/2004(H3N2))XX,4,2000
ABV72877,329,Human,HA,H3N2,Austria,N,1,26,2004,Influenza A virus (A/Austria/138571/2004(H3N2))XX,10,1994
ABV72887,329,Human,HA,H3N2,Austria,N,2,6,2004,Influenza A virus (A/Austria/140918/2004(H3N2))XX,47,1957
ABV72890,329,Human,HA,H3N2,Austria,N,2,10,2004,Influenza A virus (A/Austria/141157/2004(H3N2))XX,2,2002
ABV72892,329,Human,HA,H3N2,Austria,N,2,12,2004,Influenza A virus (A/Austria/142001/2004(H3N2))XX,47,1957
ABV72929,329,Human,HA,H3N2,Austria,N,2,6,2003,Influenza A virus (A/Austria/74466/2003(H3N2))XX,40,1963
ABV72931,329,Human,HA,H3N2,Austria,N,2,17,2003,Influenza A virus (A/Austria/76367/2003(H3N2))XX,0,2003
ABV72936,329,Human,HA,H3N2,Austria,N,2,28,2003,Influenza A virus (A/Austria/79015/2003(H3N2))XX,35,1968
ABV72941,329,Human,HA,H3N2,Austria,N,3,6,2003,Influenza A virus (A/Austria/80039/2003(H3N2))XX,34,1969
ABV72948,329,Human,HA,H3N2,Austria,N,3,13,2003,Influenza A virus (A/Austria/81720/2003(H3N2))XX,41,1962
ABV72949,329,Human,HA,H3N2,Austria,N,3,18,2003,Influenza A virus (A/Austria/82615/2003(H3N2))XX,22,1981
ABV72953,329,Human,HA,H3N2,Austria,N,3,31,2003,Influenza A virus (A/Austria/85718/2003(H3N2))XX,35,1968
ABC42617,759,Human,PB2,H3N2,New Zealand,S,10,11,2004,Influenza A virus (A/Bay of Plenty/279/2004(H3N2))XX,67,1937
ABC42622,498,Human,NP,H3N2,New Zealand,S,10,17,2004,Influenza A virus (A/Bay of Plenty/332/2004(H3N2))XX,71,1933
ABC43143,230,Human,NS1,H3N2,New Zealand,S,9,13,2004,Influenza A virus (A/Bay of Plenty/383/2004(H3N2))XX,87,1917
ABC43148,759,Human,PB2,H3N2,New Zealand,S,9,13,2004,Influenza A virus (A/Bay of Plenty/383/2004(H3N2))XX,87,1917
ABC42890,757,Human,PB1,H3N2,New Zealand,S,4,29,2002,Influenza A virus (A/Canterbury/02/2002(H3N2))XX,6,1996
ABC67616,716,Human,PA,H3N2,New Zealand,S,4,12,2002,Influenza A virus (A/Canterbury/04/2002(H3N2))XX,4,1998
ABD94767,566,Human,HA,H3N2,New Zealand,S,4,17,2001,Influenza A virus (A/Canterbury/06/2001(H3N2))XX,22,1979
ABD94769,96,Human,M2,H3N2,New Zealand,S,4,17,2001,Influenza A virus (A/Canterbury/06/2001(H3N2))XX,22,1979
ABD94775,757,Human,PB1,H3N2,New Zealand,S,4,17,2001,Influenza A virus (A/Canterbury/06/2001(H3N2))XX,22,1979
ABC85988,469,Human,NA,H3N2,New Zealand,S,4,19,2002,Influenza A virus (A/Canterbury/06/2002(H3N2))XX,2,2000
ABD77744,469,Human,NA,H3N2,New Zealand,S,5,9,2001,Influenza A virus (A/Canterbury/07/2001(H3N2))XX,81,1920
ABD77751,759,Human,PB2,H3N2,New Zealand,S,5,9,2001,Influenza A virus (A/Canterbury/07/2001(H3N2))XX,81,1920
ABC85974,566,Human,HA,H3N2,New Zealand,S,4,11,2002,Influenza A virus (A/Canterbury/09/2002(H3N2))XX,57,1945
ABC85979,230,Human,NS1,H3N2,New Zealand,S,4,11,2002,Influenza A virus (A/Canterbury/09/2002(H3N2))XX,57,1945
ABC85981,716,Human,PA,H3N2,New Zealand,S,4,11,2002,Influenza A virus (A/Canterbury/09/2002(H3N2))XX,57,1945
ABD77612,469,Human,NA,H3N2,New Zealand,S,6,7,2001,Influenza A virus (A/Canterbury/10/2001(H3N2))XX,86,1915
ABD77617,757,Human,PB1,H3N2,New Zealand,S,6,7,2001,Influenza A virus (A/Canterbury/10/2001(H3N2))XX,86,1915
ABC84447,469,Human,NA,H3N2,New Zealand,S,4,24,2002,Influenza A virus (A/Canterbury/10/2002(H3N2))XX,29,1973
ABC84452,757,Human,PB1,H3N2,New Zealand,S,4,24,2002,Influenza A virus (A/Canterbury/10/2002(H3N2))XX,29,1973
ABC43501,498,Human,NP,H3N2,New Zealand,S,9,10,2004,Influenza A virus (A/Canterbury/100/2004(H3N2))XX,30,1974
ABC43504,716,Human,PA,H3N2,New Zealand,S,9,10,2004,Influenza A virus (A/Canterbury/100/2004(H3N2))XX,30,1974
ABC43505,757,Human,PB1,H3N2,New Zealand,S,9,10,2004,Influenza A virus (A/Canterbury/100/2004(H3N2))XX,30,1974
ABC43506,90,Human,PB1-F2,H3N2,New Zealand,S,9,10,2004,Influenza A virus (A/Canterbury/100/2004(H3N2))XX,30,1974
ABD15677,757,Human,PB1,H3N2,New Zealand,S,10,31,2000,Influenza A virus (A/Canterbury/101/2000(H3N2))XX,37,1963
ABC43511,469,Human,NA,H3N2,New Zealand,S,9,9,2004,Influenza A virus (A/Canterbury/101/2004(H3N2))XX,22,1982
ABC43512,498,Human,NP,H3N2,New Zealand,S,9,9,2004,Influenza A virus (A/Canterbury/101/2004(H3N2))XX,22,1982
ABC43516,757,Human,PB1,H3N2,New Zealand,S,9,9,2004,Influenza A virus (A/Canterbury/101/2004(H3N2))XX,22,1982
ABC43517,90,Human,PB1-F2,H3N2,New Zealand,S,9,9,2004,Influenza A virus (A/Canterbury/101/2004(H3N2))XX,22,1982
ABC50387,566,Human,HA,H3N2,New Zealand,S,5,23,2002,Influenza A virus (A/Canterbury/102/2002(H3N2))XX,10,1992
ABC50391,498,Human,NP,H3N2,New Zealand,S,5,23,2002,Influenza A virus (A/Canterbury/102/2002(H3N2))XX,10,1992
ABC42706,566,Human,HA,H3N2,New Zealand,S,9,9,2004,Influenza A virus (A/Canterbury/102/2004(H3N2))XX,16,1988
ABD15690,759,Human,PB2,H3N2,New Zealand,S,11,29,2000,Influenza A virus (A/Canterbury/103/2000(H3N2))XX,30,1970
ABC42725,757,Human,PB1,H3N2,New Zealand,S,9,9,2004,Influenza A virus (A/Canterbury/103/2004(H3N2))XX,28,1976
ABC42726,90,Human,PB1-F2,H3N2,New Zealand,S,9,9,2004,Influenza A virus (A/Canterbury/103/2004(H3N2))XX,28,1976
ABC42728,566,Human,HA,H3N2,New Zealand,S,9,7,2004,Influenza A virus (A/Canterbury/104/2004(H3N2))XX,78,1926
ABC42742,469,Human,NA,H3N2,New Zealand,S,9,7,2004,Influenza A virus (A/Canterbury/105/2004(H3N2))XX,60,1944
ABC42743,498,Human,NP,H3N2,New Zealand,S,9,7,2004,Influenza A virus (A/Canterbury/105/2004(H3N2))XX,60,1944
ABC42749,759,Human,PB2,H3N2,New Zealand,S,9,7,2004,Influenza A virus (A/Canterbury/105/2004(H3N2))XX,60,1944
ABC42765,498,Human,NP,H3N2,New Zealand,S,9,12,2004,Influenza A virus (A/Canterbury/107/2004(H3N2))XX,52,1952
ABC67587,566,Human,HA,H3N2,New Zealand,S,9,12,2004,Influenza A virus (A/Canterbury/108/2004(H3N2))XX,45,1959
ABC43160,566,Human,HA,H3N2,New Zealand,S,8,4,2004,Influenza A virus (A/Canterbury/11/2004(H3N2))XX,63,1941
ABC43164,498,Human,NP,H3N2,New Zealand,S,8,4,2004,Influenza A virus (A/Canterbury/11/2004(H3N2))XX,63,1941
ABC43165,230,Human,NS1,H3N2,New Zealand,S,8,4,2004,Influenza A virus (A/Canterbury/11/2004(H3N2))XX,63,1941
ABC43166,121,Human,NS2,H3N2,New Zealand,S,8,4,2004,Influenza A virus (A/Canterbury/11/2004(H3N2))XX,63,1941
ABC43167,716,Human,PA,H3N2,New Zealand,S,8,4,2004,Influenza A virus (A/Canterbury/11/2004(H3N2))XX,63,1941
ABC43169,90,Human,PB1-F2,H3N2,New Zealand,S,8,4,2004,Influenza A virus (A/Canterbury/11/2004(H3N2))XX,63,1941
ABC43170,759,Human,PB2,H3N2,New Zealand,S,8,4,2004,Influenza A virus (A/Canterbury/11/2004(H3N2))XX,63,1941
ABC42658,716,Human,PA,H3N2,New Zealand,S,8,5,2004,Influenza A virus (A/Canterbury/12/2004(H3N2))XX,30,1974
ABC42661,759,Human,PB2,H3N2,New Zealand,S,8,5,2004,Influenza A virus (A/Canterbury/12/2004(H3N2))XX,30,1974
ABC67628,757,Human,PB1,H3N2,New Zealand,S,4,19,2002,Influenza A virus (A/Canterbury/13/2002(H3N2))XX,3,1999
ABC67850,566,Human,HA,H3N2,New Zealand,S,5,2,2002,Influenza A virus (A/Canterbury/14/2002(H3N2))XX,7,1995
ABC67857,716,Human,PA,H3N2,New Zealand,S,5,2,2002,Influenza A virus (A/Canterbury/14/2002(H3N2))XX,7,1995
ABD78054,230,Human,NS1,H3N2,New Zealand,S,8,6,2001,Influenza A virus (A/Canterbury/146/2001(H3N2))XX,1,2000
ABC43179,757,Human,PB1,H3N2,New Zealand,S,8,6,2004,Influenza A virus (A/Canterbury/16/2004(H3N2))XX,85,1919
ABC85787,566,Human,HA,H3N2,New Zealand,S,8,7,2000,Influenza A virus (A/Canterbury/17/2000(H3N2))XX,58,1942
ABC85789,96,Human,M2,H3N2,New Zealand,S,8,7,2000,Influenza A virus (A/Canterbury/17/2000(H3N2))XX,58,1942
ABC85790,469,Human,NA,H3N2,New Zealand,S,8,7,2000,Influenza A virus (A/Canterbury/17/2000(H3N2))XX,58,1942
ABC85791,498,Human,NP,H3N2,New Zealand,S,8,7,2000,Influenza A virus (A/Canterbury/17/2000(H3N2))XX,58,1942
ABC85793,121,Human,NS2,H3N2,New Zealand,S,8,7,2000,Influenza A virus (A/Canterbury/17/2000(H3N2))XX,58,1942
ABC85794,716,Human,PA,H3N2,New Zealand,S,8,7,2000,Influenza A virus (A/Canterbury/17/2000(H3N2))XX,58,1942
ABC85797,759,Human,PB2,H3N2,New Zealand,S,8,7,2000,Influenza A virus (A/Canterbury/17/2000(H3N2))XX,58,1942
ABC43185,469,Human,NA,H3N2,New Zealand,S,8,13,2004,Influenza A virus (A/Canterbury/17/2004(H3N2))XX,53,1951
ABC43189,716,Human,PA,H3N2,New Zealand,S,8,13,2004,Influenza A virus (A/Canterbury/17/2004(H3N2))XX,53,1951
ABD61344,716,Human,PA,H3N2,New Zealand,S,12,17,1999,Influenza A virus (A/Canterbury/179/1999(H3N2))XX,0,1999
ABD61345,757,Human,PB1,H3N2,New Zealand,S,12,17,1999,Influenza A virus (A/Canterbury/179/1999(H3N2))XX,0,1999
ABD61347,759,Human,PB2,H3N2,New Zealand,S,12,17,1999,Influenza A virus (A/Canterbury/179/1999(H3N2))XX,0,1999
ABC50214,469,Human,NA,H3N2,New Zealand,S,5,6,2002,Influenza A virus (A/Canterbury/18/2002(H3N2))XX,1,2001
ABC50218,716,Human,PA,H3N2,New Zealand,S,5,6,2002,Influenza A virus (A/Canterbury/18/2002(H3N2))XX,1,2001
ABC42662,566,Human,HA,H3N2,New Zealand,S,8,15,2004,Influenza A virus (A/Canterbury/18/2004(H3N2))XX,36,1968
ABC67886,469,Human,NA,H3N2,New Zealand,S,5,15,2002,Influenza A virus (A/Canterbury/19/2002(H3N2))XX,14,1988
ABC42673,566,Human,HA,H3N2,New Zealand,S,8,17,2004,Influenza A virus (A/Canterbury/19/2004(H3N2))XX,69,1935
ABD61348,566,Human,HA,H3N2,New Zealand,S,1,20,2000,Influenza A virus (A/Canterbury/2/2000(H3N2))XX,87,1913
ABD61350,96,Human,M2,H3N2,New Zealand,S,1,20,2000,Influenza A virus (A/Canterbury/2/2000(H3N2))XX,87,1913
ABD61356,757,Human,PB1,H3N2,New Zealand,S,1,20,2000,Influenza A virus (A/Canterbury/2/2000(H3N2))XX,87,1913
ABD61357,90,Human,PB1-F2,H3N2,New Zealand,S,1,20,2000,Influenza A virus (A/Canterbury/2/2000(H3N2))XX,87,1913
ABD61358,759,Human,PB2,H3N2,New Zealand,S,1,20,2000,Influenza A virus (A/Canterbury/2/2000(H3N2))XX,87,1913
ABC67894,566,Human,HA,H3N2,New Zealand,S,5,6,2002,Influenza A virus (A/Canterbury/20/2002(H3N2))XX,7,1995
ABC67901,716,Human,PA,H3N2,New Zealand,S,5,6,2002,Influenza A virus (A/Canterbury/20/2002(H3N2))XX,7,1995
ACT21473,759,Human,PB2,H3N2,New Zealand,S,9,16,2004,Influenza A virus (A/Canterbury/200/2004(H3N2))XX,56,1948
ACT21474,759,Human,PB2,H3N2,New Zealand,S,9,16,2004,Influenza A virus (A/Canterbury/200/2004(H3N2))XX,56,1948
ACT21475,759,Human,PB2,H3N2,New Zealand,S,9,16,2004,Influenza A virus (A/Canterbury/200/2004(H3N2))XX,56,1948
ACT21476,759,Human,PB2,H3N2,New Zealand,S,9,16,2004,Influenza A virus (A/Canterbury/200/2004(H3N2))XX,56,1948
ACT21477,759,Human,PB2,H3N2,New Zealand,S,9,16,2004,Influenza A virus (A/Canterbury/200/2004(H3N2))XX,56,1948
ACT21478,759,Human,PB2,H3N2,New Zealand,S,9,16,2004,Influenza A virus (A/Canterbury/200/2004(H3N2))XX,56,1948
ACT21481,757,Human,PB1,H3N2,New Zealand,S,9,16,2004,Influenza A virus (A/Canterbury/200/2004(H3N2))XX,56,1948
ACT21483,757,Human,PB1,H3N2,New Zealand,S,9,16,2004,Influenza A virus (A/Canterbury/200/2004(H3N2))XX,56,1948
ACT21485,757,Human,PB1,H3N2,New Zealand,S,9,16,2004,Influenza A virus (A/Canterbury/200/2004(H3N2))XX,56,1948
ACT21491,96,Human,PA,H3N2,New Zealand,S,9,16,2004,Influenza A virus (A/Canterbury/200/2004(H3N2))XX,56,1948
ACT21492,88,Human,PA,H3N2,New Zealand,S,9,16,2004,Influenza A virus (A/Canterbury/200/2004(H3N2))XX,56,1948
ACT21493,108,Human,PA,H3N2,New Zealand,S,9,16,2004,Influenza A virus (A/Canterbury/200/2004(H3N2))XX,56,1948
ACT21494,94,Human,PA,H3N2,New Zealand,S,9,16,2004,Influenza A virus (A/Canterbury/200/2004(H3N2))XX,56,1948
ACT21495,180,Human,PA,H3N2,New Zealand,S,9,16,2004,Influenza A virus (A/Canterbury/200/2004(H3N2))XX,56,1948
ACT21496,86,Human,PA,H3N2,New Zealand,S,9,16,2004,Influenza A virus (A/Canterbury/200/2004(H3N2))XX,56,1948
ACT21497,208,Human,PA,H3N2,New Zealand,S,9,16,2004,Influenza A virus (A/Canterbury/200/2004(H3N2))XX,56,1948
ACT21498,189,Human,PA,H3N2,New Zealand,S,9,16,2004,Influenza A virus (A/Canterbury/200/2004(H3N2))XX,56,1948
ACT21499,43,Human,PA,H3N2,New Zealand,S,9,16,2004,Influenza A virus (A/Canterbury/200/2004(H3N2))XX,56,1948
ACT21500,151,Human,PA,H3N2,New Zealand,S,9,16,2004,Influenza A virus (A/Canterbury/200/2004(H3N2))XX,56,1948
ACT21501,190,Human,PA,H3N2,New Zealand,S,9,16,2004,Influenza A virus (A/Canterbury/200/2004(H3N2))XX,56,1948
ACT21502,108,Human,PA,H3N2,New Zealand,S,9,16,2004,Influenza A virus (A/Canterbury/200/2004(H3N2))XX,56,1948
ACT21503,60,Human,PA,H3N2,New Zealand,S,9,16,2004,Influenza A virus (A/Canterbury/200/2004(H3N2))XX,56,1948
ACT21504,78,Human,PA,H3N2,New Zealand,S,9,16,2004,Influenza A virus (A/Canterbury/200/2004(H3N2))XX,56,1948
ACT21505,98,Human,PA,H3N2,New Zealand,S,9,16,2004,Influenza A virus (A/Canterbury/200/2004(H3N2))XX,56,1948
ACT21506,90,Human,PA,H3N2,New Zealand,S,9,16,2004,Influenza A virus (A/Canterbury/200/2004(H3N2))XX,56,1948
ACT21507,566,Human,HA,H3N2,New Zealand,S,9,16,2004,Influenza A virus (A/Canterbury/200/2004(H3N2))XX,56,1948
ACT21508,566,Human,HA,H3N2,New Zealand,S,9,16,2004,Influenza A virus (A/Canterbury/200/2004(H3N2))XX,56,1948
ACT21509,566,Human,HA,H3N2,New Zealand,S,9,16,2004,Influenza A virus (A/Canterbury/200/2004(H3N2))XX,56,1948
ACT21510,566,Human,HA,H3N2,New Zealand,S,9,16,2004,Influenza A virus (A/Canterbury/200/2004(H3N2))XX,56,1948
ACT21512,498,Human,NP,H3N2,New Zealand,S,9,16,2004,Influenza A virus (A/Canterbury/200/2004(H3N2))XX,56,1948
ACT21513,498,Human,NP,H3N2,New Zealand,S,9,16,2004,Influenza A virus (A/Canterbury/200/2004(H3N2))XX,56,1948
ACT21516,469,Human,NA,H3N2,New Zealand,S,9,16,2004,Influenza A virus (A/Canterbury/200/2004(H3N2))XX,56,1948
ACT21517,469,Human,NA,H3N2,New Zealand,S,9,16,2004,Influenza A virus (A/Canterbury/200/2004(H3N2))XX,56,1948
ACT21518,252,Human,M1,H3N2,New Zealand,S,9,16,2004,Influenza A virus (A/Canterbury/200/2004(H3N2))XX,56,1948
ACT21520,252,Human,M1,H3N2,New Zealand,S,9,16,2004,Influenza A virus (A/Canterbury/200/2004(H3N2))XX,56,1948
ACT21522,97,Human,M2,H3N2,New Zealand,S,9,16,2004,Influenza A virus (A/Canterbury/200/2004(H3N2))XX,56,1948
ACT21524,97,Human,M2,H3N2,New Zealand,S,9,16,2004,Influenza A virus (A/Canterbury/200/2004(H3N2))XX,56,1948
ACT21527,252,Human,M1,H3N2,New Zealand,S,9,16,2004,Influenza A virus (A/Canterbury/200/2004(H3N2))XX,56,1948
ACT21529,97,Human,M2,H3N2,New Zealand,S,9,16,2004,Influenza A virus (A/Canterbury/200/2004(H3N2))XX,56,1948
ACT21530,252,Human,M1,H3N2,New Zealand,S,9,16,2004,Influenza A virus (A/Canterbury/200/2004(H3N2))XX,56,1948
ACT21532,252,Human,M1,H3N2,New Zealand,S,9,16,2004,Influenza A virus (A/Canterbury/200/2004(H3N2))XX,56,1948
ACT21536,230,Human,NS1,H3N2,New Zealand,S,9,16,2004,Influenza A virus (A/Canterbury/200/2004(H3N2))XX,56,1948
ABC42772,566,Human,HA,H3N2,New Zealand,S,9,16,2004,Influenza A virus (A/Canterbury/201/2004(H3N2))XX,54,1950
ABC42780,757,Human,PB1,H3N2,New Zealand,S,9,16,2004,Influenza A virus (A/Canterbury/201/2004(H3N2))XX,54,1950
ABC42782,759,Human,PB2,H3N2,New Zealand,S,9,16,2004,Influenza A virus (A/Canterbury/201/2004(H3N2))XX,54,1950
ABC42791,757,Human,PB1,H3N2,New Zealand,S,9,15,2004,Influenza A virus (A/Canterbury/202/2004(H3N2))XX,50,1954
ABC42792,79,Human,PB1-F2,H3N2,New Zealand,S,9,15,2004,Influenza A virus (A/Canterbury/202/2004(H3N2))XX,50,1954
ABC42793,759,Human,PB2,H3N2,New Zealand,S,9,15,2004,Influenza A virus (A/Canterbury/202/2004(H3N2))XX,50,1954
ABC42801,716,Human,PA,H3N2,New Zealand,S,9,15,2004,Influenza A virus (A/Canterbury/205/2004(H3N2))XX,81,1923
ABC42803,90,Human,PB1-F2,H3N2,New Zealand,S,9,15,2004,Influenza A virus (A/Canterbury/205/2004(H3N2))XX,81,1923
