Acession, Length, Host, Protein, Subtype, Country, Region, Year, Month, Day, Virus, Age
ABU80320,566,Human,HA,H3N2,New Zealand,S,2000,10,09,Influenza A virus (A/Auckland/598/2000(H3N2))XX,24
ABU80320,566,Human,HA,H3N2,New Zealand,S,2000,10,09,Influenza A virus (A/Auckland/598/2000(H3N2))XX,24
ABS50009,566,Human,HA,H3N2,New Zealand,S,2000,09,22,Influenza A virus (A/Auckland/599/2000(H3N2))XX,37
ABS50009,566,Human,HA,H3N2,New Zealand,S,2000,09,22,Influenza A virus (A/Auckland/599/2000(H3N2))XX,37
ABS50017,757,Human,PB1,H3N2,New Zealand,S,2000,09,22,Influenza A virus (A/Auckland/599/2000(H3N2))XX,37
ABS50017,757,Human,PB1,H3N2,New Zealand,S,2000,09,22,Influenza A virus (A/Auckland/599/2000(H3N2))XX,37
ABS50020,566,Human,HA,H3N2,New Zealand,S,2000,05,06,Influenza A virus (A/Auckland/600/2000(H3N2))XX,8
ABS50020,566,Human,HA,H3N2,New Zealand,S,2000,05,06,Influenza A virus (A/Auckland/600/2000(H3N2))XX,8
ABS50023,469,Human,NA,H3N2,New Zealand,S,2000,05,06,Influenza A virus (A/Auckland/600/2000(H3N2))XX,8
ABS50023,469,Human,NA,H3N2,New Zealand,S,2000,05,06,Influenza A virus (A/Auckland/600/2000(H3N2))XX,8
ABS50025,230,Human,NS1,H3N2,New Zealand,S,2000,05,06,Influenza A virus (A/Auckland/600/2000(H3N2))XX,8
ABS50025,230,Human,NS1,H3N2,New Zealand,S,2000,05,06,Influenza A virus (A/Auckland/600/2000(H3N2))XX,8
ABS50031,566,Human,HA,H3N2,New Zealand,S,2000,09,11,Influenza A virus (A/Auckland/601/2000(H3N2))XX,9
ABS50031,566,Human,HA,H3N2,New Zealand,S,2000,09,11,Influenza A virus (A/Auckland/601/2000(H3N2))XX,9
ABS50038,716,Human,PA,H3N2,New Zealand,S,2000,09,11,Influenza A virus (A/Auckland/601/2000(H3N2))XX,9
ABS50038,716,Human,PA,H3N2,New Zealand,S,2000,09,11,Influenza A virus (A/Auckland/601/2000(H3N2))XX,9
ABR28823,566,Human,HA,H3N2,New Zealand,S,2001,08,19,Influenza A virus (A/Auckland/602/2001(H3N2))XX,24
ABR28823,566,Human,HA,H3N2,New Zealand,S,2001,08,19,Influenza A virus (A/Auckland/602/2001(H3N2))XX,24
ABR28831,757,Human,PB1,H3N2,New Zealand,S,2001,08,19,Influenza A virus (A/Auckland/602/2001(H3N2))XX,24
ABR28831,757,Human,PB1,H3N2,New Zealand,S,2001,08,19,Influenza A virus (A/Auckland/602/2001(H3N2))XX,24
ABR28833,759,Human,PB2,H3N2,New Zealand,S,2001,08,19,Influenza A virus (A/Auckland/602/2001(H3N2))XX,24
ABR28833,759,Human,PB2,H3N2,New Zealand,S,2001,08,19,Influenza A virus (A/Auckland/602/2001(H3N2))XX,24
ABS50045,469,Human,NA,H3N2,New Zealand,S,2001,10,02,Influenza A virus (A/Auckland/603/2001(H3N2))XX,6
ABS50045,469,Human,NA,H3N2,New Zealand,S,2001,10,02,Influenza A virus (A/Auckland/603/2001(H3N2))XX,6
ABS50049,716,Human,PA,H3N2,New Zealand,S,2001,10,02,Influenza A virus (A/Auckland/603/2001(H3N2))XX,6
ABS50049,716,Human,PA,H3N2,New Zealand,S,2001,10,02,Influenza A virus (A/Auckland/603/2001(H3N2))XX,6
ABS50052,759,Human,PB2,H3N2,New Zealand,S,2001,10,02,Influenza A virus (A/Auckland/603/2001(H3N2))XX,6
ABS50052,759,Human,PB2,H3N2,New Zealand,S,2001,10,02,Influenza A virus (A/Auckland/603/2001(H3N2))XX,6
ABS50058,230,Human,NS1,H3N2,New Zealand,S,2001,09,28,Influenza A virus (A/Auckland/604/2001(H3N2))XX,25
ABS50058,230,Human,NS1,H3N2,New Zealand,S,2001,09,28,Influenza A virus (A/Auckland/604/2001(H3N2))XX,25
ABS50062,90,Human,PB1-F2,H3N2,New Zealand,S,2001,09,28,Influenza A virus (A/Auckland/604/2001(H3N2))XX,25
ABS50062,90,Human,PB1-F2,H3N2,New Zealand,S,2001,09,28,Influenza A virus (A/Auckland/604/2001(H3N2))XX,25
ABR15929,566,Human,HA,H3N2,New Zealand,S,2001,08,15,Influenza A virus (A/Auckland/607/2001(H3N2))XX,58
ABR15929,566,Human,HA,H3N2,New Zealand,S,2001,08,15,Influenza A virus (A/Auckland/607/2001(H3N2))XX,58
ABR15932,469,Human,NA,H3N2,New Zealand,S,2001,08,15,Influenza A virus (A/Auckland/607/2001(H3N2))XX,58
ABR15932,469,Human,NA,H3N2,New Zealand,S,2001,08,15,Influenza A virus (A/Auckland/607/2001(H3N2))XX,58
ABR15934,230,Human,NS1,H3N2,New Zealand,S,2001,08,15,Influenza A virus (A/Auckland/607/2001(H3N2))XX,58
ABR15934,230,Human,NS1,H3N2,New Zealand,S,2001,08,15,Influenza A virus (A/Auckland/607/2001(H3N2))XX,58
ABR15936,716,Human,PA,H3N2,New Zealand,S,2001,08,15,Influenza A virus (A/Auckland/607/2001(H3N2))XX,58
ABR15936,716,Human,PA,H3N2,New Zealand,S,2001,08,15,Influenza A virus (A/Auckland/607/2001(H3N2))XX,58
ABR15939,759,Human,PB2,H3N2,New Zealand,S,2001,08,15,Influenza A virus (A/Auckland/607/2001(H3N2))XX,58
ABR15939,759,Human,PB2,H3N2,New Zealand,S,2001,08,15,Influenza A virus (A/Auckland/607/2001(H3N2))XX,58
ABR28856,566,Human,HA,H3N2,New Zealand,S,2002,06,08,Influenza A virus (A/Auckland/608/2002(H3N2))XX,45
ABR28856,566,Human,HA,H3N2,New Zealand,S,2002,06,08,Influenza A virus (A/Auckland/608/2002(H3N2))XX,45
ABR28859,469,Human,NA,H3N2,New Zealand,S,2002,06,08,Influenza A virus (A/Auckland/608/2002(H3N2))XX,45
ABR28859,469,Human,NA,H3N2,New Zealand,S,2002,06,08,Influenza A virus (A/Auckland/608/2002(H3N2))XX,45
ABR28860,498,Human,NP,H3N2,New Zealand,S,2002,06,08,Influenza A virus (A/Auckland/608/2002(H3N2))XX,45
ABR28860,498,Human,NP,H3N2,New Zealand,S,2002,06,08,Influenza A virus (A/Auckland/608/2002(H3N2))XX,45
ABR28864,757,Human,PB1,H3N2,New Zealand,S,2002,06,08,Influenza A virus (A/Auckland/608/2002(H3N2))XX,45
ABR28864,757,Human,PB1,H3N2,New Zealand,S,2002,06,08,Influenza A virus (A/Auckland/608/2002(H3N2))XX,45
ABR28870,469,Human,NA,H3N2,New Zealand,S,2002,06,18,Influenza A virus (A/Auckland/609/2002(H3N2))XX,34
ABR28870,469,Human,NA,H3N2,New Zealand,S,2002,06,18,Influenza A virus (A/Auckland/609/2002(H3N2))XX,34
ABR28874,716,Human,PA,H3N2,New Zealand,S,2002,06,18,Influenza A virus (A/Auckland/609/2002(H3N2))XX,34
ABR28874,716,Human,PA,H3N2,New Zealand,S,2002,06,18,Influenza A virus (A/Auckland/609/2002(H3N2))XX,34
ABR28877,759,Human,PB2,H3N2,New Zealand,S,2002,06,18,Influenza A virus (A/Auckland/609/2002(H3N2))XX,34
ABR28877,759,Human,PB2,H3N2,New Zealand,S,2002,06,18,Influenza A virus (A/Auckland/609/2002(H3N2))XX,34
ABU80332,252,Human,M1,H3N2,New Zealand,S,2002,07,29,Influenza A virus (A/Auckland/610/2002(H3N2))XX,2
ABU80332,252,Human,M1,H3N2,New Zealand,S,2002,07,29,Influenza A virus (A/Auckland/610/2002(H3N2))XX,2
ABU80334,469,Human,NA,H3N2,New Zealand,S,2002,07,29,Influenza A virus (A/Auckland/610/2002(H3N2))XX,2
ABU80334,469,Human,NA,H3N2,New Zealand,S,2002,07,29,Influenza A virus (A/Auckland/610/2002(H3N2))XX,2
ABU80340,90,Human,PB1-F2,H3N2,New Zealand,S,2002,07,29,Influenza A virus (A/Auckland/610/2002(H3N2))XX,2
ABU80340,90,Human,PB1-F2,H3N2,New Zealand,S,2002,07,29,Influenza A virus (A/Auckland/610/2002(H3N2))XX,2
ABR15940,566,Human,HA,H3N2,New Zealand,S,2002,09,09,Influenza A virus (A/Auckland/611/2002(H3N2))XX,3
ABR15940,566,Human,HA,H3N2,New Zealand,S,2002,09,09,Influenza A virus (A/Auckland/611/2002(H3N2))XX,3
ABR15943,469,Human,NA,H3N2,New Zealand,S,2002,09,09,Influenza A virus (A/Auckland/611/2002(H3N2))XX,3
ABR15943,469,Human,NA,H3N2,New Zealand,S,2002,09,09,Influenza A virus (A/Auckland/611/2002(H3N2))XX,3
ABR15945,230,Human,NS1,H3N2,New Zealand,S,2002,09,09,Influenza A virus (A/Auckland/611/2002(H3N2))XX,3
ABR15945,230,Human,NS1,H3N2,New Zealand,S,2002,09,09,Influenza A virus (A/Auckland/611/2002(H3N2))XX,3
ABR15947,716,Human,PA,H3N2,New Zealand,S,2002,09,09,Influenza A virus (A/Auckland/611/2002(H3N2))XX,3
ABR15947,716,Human,PA,H3N2,New Zealand,S,2002,09,09,Influenza A virus (A/Auckland/611/2002(H3N2))XX,3
ABR28881,469,Human,NA,H3N2,New Zealand,S,2002,08,14,Influenza A virus (A/Auckland/612/2002(H3N2))XX,3
ABR28881,469,Human,NA,H3N2,New Zealand,S,2002,08,14,Influenza A virus (A/Auckland/612/2002(H3N2))XX,3
ABR28885,716,Human,PA,H3N2,New Zealand,S,2002,08,14,Influenza A virus (A/Auckland/612/2002(H3N2))XX,3
ABR28885,716,Human,PA,H3N2,New Zealand,S,2002,08,14,Influenza A virus (A/Auckland/612/2002(H3N2))XX,3
ABR15954,469,Human,NA,H3N2,New Zealand,S,2002,08,01,Influenza A virus (A/Auckland/613/2002(H3N2))XX,10
ABR15954,469,Human,NA,H3N2,New Zealand,S,2002,08,01,Influenza A virus (A/Auckland/613/2002(H3N2))XX,10
ABR15958,716,Human,PA,H3N2,New Zealand,S,2002,08,01,Influenza A virus (A/Auckland/613/2002(H3N2))XX,10
ABR15958,716,Human,PA,H3N2,New Zealand,S,2002,08,01,Influenza A virus (A/Auckland/613/2002(H3N2))XX,10
ABR15959,757,Human,PB1,H3N2,New Zealand,S,2002,08,01,Influenza A virus (A/Auckland/613/2002(H3N2))XX,10
ABR15959,757,Human,PB1,H3N2,New Zealand,S,2002,08,01,Influenza A virus (A/Auckland/613/2002(H3N2))XX,10
ABR15960,90,Human,PB1-F2,H3N2,New Zealand,S,2002,08,01,Influenza A virus (A/Auckland/613/2002(H3N2))XX,10
ABR15960,90,Human,PB1-F2,H3N2,New Zealand,S,2002,08,01,Influenza A virus (A/Auckland/613/2002(H3N2))XX,10
ABR15962,566,Human,HA,H3N2,New Zealand,S,2002,01,14,Influenza A virus (A/Auckland/614/2002(H3N2))XX,3
ABR15962,566,Human,HA,H3N2,New Zealand,S,2002,01,14,Influenza A virus (A/Auckland/614/2002(H3N2))XX,3
ABR15969,716,Human,PA,H3N2,New Zealand,S,2002,01,14,Influenza A virus (A/Auckland/614/2002(H3N2))XX,3
ABR15969,716,Human,PA,H3N2,New Zealand,S,2002,01,14,Influenza A virus (A/Auckland/614/2002(H3N2))XX,3
ABR15970,757,Human,PB1,H3N2,New Zealand,S,2002,01,14,Influenza A virus (A/Auckland/614/2002(H3N2))XX,3
ABR15970,757,Human,PB1,H3N2,New Zealand,S,2002,01,14,Influenza A virus (A/Auckland/614/2002(H3N2))XX,3
ABR15971,90,Human,PB1-F2,H3N2,New Zealand,S,2002,01,14,Influenza A virus (A/Auckland/614/2002(H3N2))XX,3
ABR15971,90,Human,PB1-F2,H3N2,New Zealand,S,2002,01,14,Influenza A virus (A/Auckland/614/2002(H3N2))XX,3
ABR15972,759,Human,PB2,H3N2,New Zealand,S,2002,01,14,Influenza A virus (A/Auckland/614/2002(H3N2))XX,3
ABR15972,759,Human,PB2,H3N2,New Zealand,S,2002,01,14,Influenza A virus (A/Auckland/614/2002(H3N2))XX,3
ABS50064,566,Human,HA,H3N2,New Zealand,S,2002,03,04,Influenza A virus (A/Auckland/615/2002(H3N2))XX,6
ABS50064,566,Human,HA,H3N2,New Zealand,S,2002,03,04,Influenza A virus (A/Auckland/615/2002(H3N2))XX,6
ABS50072,757,Human,PB1,H3N2,New Zealand,S,2002,03,04,Influenza A virus (A/Auckland/615/2002(H3N2))XX,6
ABS50072,757,Human,PB1,H3N2,New Zealand,S,2002,03,04,Influenza A virus (A/Auckland/615/2002(H3N2))XX,6
ABV72859,329,Human,HA,H3N2,Austria,N,2003,12,29,Influenza A virus (A/Austria/134419/2003(H3N2))XX,0
ABV72859,329,Human,HA,H3N2,Austria,N,2003,12,29,Influenza A virus (A/Austria/134419/2003(H3N2))XX,0
ABV72861,329,Human,HA,H3N2,Austria,N,2004,01,09,Influenza A virus (A/Austria/135553/2004(H3N2))XX,12
ABV72861,329,Human,HA,H3N2,Austria,N,2004,01,09,Influenza A virus (A/Austria/135553/2004(H3N2))XX,12
ABV72862,329,Human,HA,H3N2,Austria,N,2004,01,12,Influenza A virus (A/Austria/135794/2004(H3N2))XX,49
ABV72862,329,Human,HA,H3N2,Austria,N,2004,01,12,Influenza A virus (A/Austria/135794/2004(H3N2))XX,49
ABV72873,329,Human,HA,H3N2,Austria,N,2004,01,22,Influenza A virus (A/Austria/138112/2004(H3N2))XX,28
ABV72873,329,Human,HA,H3N2,Austria,N,2004,01,22,Influenza A virus (A/Austria/138112/2004(H3N2))XX,28
ABV72876,329,Human,HA,H3N2,Austria,N,2004,01,26,Influenza A virus (A/Austria/138560/2004(H3N2))XX,4
ABV72876,329,Human,HA,H3N2,Austria,N,2004,01,26,Influenza A virus (A/Austria/138560/2004(H3N2))XX,4
ABV72877,329,Human,HA,H3N2,Austria,N,2004,01,26,Influenza A virus (A/Austria/138571/2004(H3N2))XX,10
ABV72877,329,Human,HA,H3N2,Austria,N,2004,01,26,Influenza A virus (A/Austria/138571/2004(H3N2))XX,10
ABV72887,329,Human,HA,H3N2,Austria,N,2004,02,06,Influenza A virus (A/Austria/140918/2004(H3N2))XX,47
ABV72887,329,Human,HA,H3N2,Austria,N,2004,02,06,Influenza A virus (A/Austria/140918/2004(H3N2))XX,47
ABV72890,329,Human,HA,H3N2,Austria,N,2004,02,10,Influenza A virus (A/Austria/141157/2004(H3N2))XX,2
ABV72890,329,Human,HA,H3N2,Austria,N,2004,02,10,Influenza A virus (A/Austria/141157/2004(H3N2))XX,2
ABV72892,329,Human,HA,H3N2,Austria,N,2004,02,12,Influenza A virus (A/Austria/142001/2004(H3N2))XX,47
ABV72892,329,Human,HA,H3N2,Austria,N,2004,02,12,Influenza A virus (A/Austria/142001/2004(H3N2))XX,47
ABV72929,329,Human,HA,H3N2,Austria,N,2003,02,06,Influenza A virus (A/Austria/74466/2003(H3N2))XX,40
ABV72929,329,Human,HA,H3N2,Austria,N,2003,02,06,Influenza A virus (A/Austria/74466/2003(H3N2))XX,40
ABV72931,329,Human,HA,H3N2,Austria,N,2003,02,17,Influenza A virus (A/Austria/76367/2003(H3N2))XX,0
ABV72931,329,Human,HA,H3N2,Austria,N,2003,02,17,Influenza A virus (A/Austria/76367/2003(H3N2))XX,0
ABV72936,329,Human,HA,H3N2,Austria,N,2003,02,28,Influenza A virus (A/Austria/79015/2003(H3N2))XX,35
ABV72936,329,Human,HA,H3N2,Austria,N,2003,02,28,Influenza A virus (A/Austria/79015/2003(H3N2))XX,35
ABV72941,329,Human,HA,H3N2,Austria,N,2003,03,06,Influenza A virus (A/Austria/80039/2003(H3N2))XX,34
ABV72941,329,Human,HA,H3N2,Austria,N,2003,03,06,Influenza A virus (A/Austria/80039/2003(H3N2))XX,34
ABV72948,329,Human,HA,H3N2,Austria,N,2003,03,13,Influenza A virus (A/Austria/81720/2003(H3N2))XX,41
ABV72948,329,Human,HA,H3N2,Austria,N,2003,03,13,Influenza A virus (A/Austria/81720/2003(H3N2))XX,41
ABV72949,329,Human,HA,H3N2,Austria,N,2003,03,18,Influenza A virus (A/Austria/82615/2003(H3N2))XX,22
ABV72949,329,Human,HA,H3N2,Austria,N,2003,03,18,Influenza A virus (A/Austria/82615/2003(H3N2))XX,22
ABV72953,329,Human,HA,H3N2,Austria,N,2003,03,31,Influenza A virus (A/Austria/85718/2003(H3N2))XX,35
ABV72953,329,Human,HA,H3N2,Austria,N,2003,03,31,Influenza A virus (A/Austria/85718/2003(H3N2))XX,35
ABC42617,759,Human,PB2,H3N2,New Zealand,S,2004,10,11,Influenza A virus (A/Bay of Plenty/279/2004(H3N2))XX,67
ABC42617,759,Human,PB2,H3N2,New Zealand,S,2004,10,11,Influenza A virus (A/Bay of Plenty/279/2004(H3N2))XX,67
ABC42622,498,Human,NP,H3N2,New Zealand,S,2004,10,17,Influenza A virus (A/Bay of Plenty/332/2004(H3N2))XX,71
ABC42622,498,Human,NP,H3N2,New Zealand,S,2004,10,17,Influenza A virus (A/Bay of Plenty/332/2004(H3N2))XX,71
ABC43143,230,Human,NS1,H3N2,New Zealand,S,2004,09,13,Influenza A virus (A/Bay of Plenty/383/2004(H3N2))XX,87
ABC43143,230,Human,NS1,H3N2,New Zealand,S,2004,09,13,Influenza A virus (A/Bay of Plenty/383/2004(H3N2))XX,87
ABC43148,759,Human,PB2,H3N2,New Zealand,S,2004,09,13,Influenza A virus (A/Bay of Plenty/383/2004(H3N2))XX,87
ABC43148,759,Human,PB2,H3N2,New Zealand,S,2004,09,13,Influenza A virus (A/Bay of Plenty/383/2004(H3N2))XX,87
ABC42890,757,Human,PB1,H3N2,New Zealand,S,2002,04,29,Influenza A virus (A/Canterbury/02/2002(H3N2))XX,6
ABC42890,757,Human,PB1,H3N2,New Zealand,S,2002,04,29,Influenza A virus (A/Canterbury/02/2002(H3N2))XX,6
ABC67616,716,Human,PA,H3N2,New Zealand,S,2002,04,12,Influenza A virus (A/Canterbury/04/2002(H3N2))XX,4
ABC67616,716,Human,PA,H3N2,New Zealand,S,2002,04,12,Influenza A virus (A/Canterbury/04/2002(H3N2))XX,4
ABD94767,566,Human,HA,H3N2,New Zealand,S,2001,04,17,Influenza A virus (A/Canterbury/06/2001(H3N2))XX,22
ABD94767,566,Human,HA,H3N2,New Zealand,S,2001,04,17,Influenza A virus (A/Canterbury/06/2001(H3N2))XX,22
ABD94769,96,Human,M2,H3N2,New Zealand,S,2001,04,17,Influenza A virus (A/Canterbury/06/2001(H3N2))XX,22
ABD94769,96,Human,M2,H3N2,New Zealand,S,2001,04,17,Influenza A virus (A/Canterbury/06/2001(H3N2))XX,22
ABD94775,757,Human,PB1,H3N2,New Zealand,S,2001,04,17,Influenza A virus (A/Canterbury/06/2001(H3N2))XX,22
ABD94775,757,Human,PB1,H3N2,New Zealand,S,2001,04,17,Influenza A virus (A/Canterbury/06/2001(H3N2))XX,22
ABC85988,469,Human,NA,H3N2,New Zealand,S,2002,04,19,Influenza A virus (A/Canterbury/06/2002(H3N2))XX,2
ABC85988,469,Human,NA,H3N2,New Zealand,S,2002,04,19,Influenza A virus (A/Canterbury/06/2002(H3N2))XX,2
ABD77744,469,Human,NA,H3N2,New Zealand,S,2001,05,09,Influenza A virus (A/Canterbury/07/2001(H3N2))XX,81
ABD77744,469,Human,NA,H3N2,New Zealand,S,2001,05,09,Influenza A virus (A/Canterbury/07/2001(H3N2))XX,81
ABD77751,759,Human,PB2,H3N2,New Zealand,S,2001,05,09,Influenza A virus (A/Canterbury/07/2001(H3N2))XX,81
ABD77751,759,Human,PB2,H3N2,New Zealand,S,2001,05,09,Influenza A virus (A/Canterbury/07/2001(H3N2))XX,81
ABC85974,566,Human,HA,H3N2,New Zealand,S,2002,04,11,Influenza A virus (A/Canterbury/09/2002(H3N2))XX,57
ABC85974,566,Human,HA,H3N2,New Zealand,S,2002,04,11,Influenza A virus (A/Canterbury/09/2002(H3N2))XX,57
ABC85979,230,Human,NS1,H3N2,New Zealand,S,2002,04,11,Influenza A virus (A/Canterbury/09/2002(H3N2))XX,57
ABC85979,230,Human,NS1,H3N2,New Zealand,S,2002,04,11,Influenza A virus (A/Canterbury/09/2002(H3N2))XX,57
ABC85981,716,Human,PA,H3N2,New Zealand,S,2002,04,11,Influenza A virus (A/Canterbury/09/2002(H3N2))XX,57
ABC85981,716,Human,PA,H3N2,New Zealand,S,2002,04,11,Influenza A virus (A/Canterbury/09/2002(H3N2))XX,57
ABD77612,469,Human,NA,H3N2,New Zealand,S,2001,06,07,Influenza A virus (A/Canterbury/10/2001(H3N2))XX,86
ABD77612,469,Human,NA,H3N2,New Zealand,S,2001,06,07,Influenza A virus (A/Canterbury/10/2001(H3N2))XX,86
ABD77617,757,Human,PB1,H3N2,New Zealand,S,2001,06,07,Influenza A virus (A/Canterbury/10/2001(H3N2))XX,86
ABD77617,757,Human,PB1,H3N2,New Zealand,S,2001,06,07,Influenza A virus (A/Canterbury/10/2001(H3N2))XX,86
ABC84447,469,Human,NA,H3N2,New Zealand,S,2002,04,24,Influenza A virus (A/Canterbury/10/2002(H3N2))XX,29
ABC84447,469,Human,NA,H3N2,New Zealand,S,2002,04,24,Influenza A virus (A/Canterbury/10/2002(H3N2))XX,29
ABC84452,757,Human,PB1,H3N2,New Zealand,S,2002,04,24,Influenza A virus (A/Canterbury/10/2002(H3N2))XX,29
ABC84452,757,Human,PB1,H3N2,New Zealand,S,2002,04,24,Influenza A virus (A/Canterbury/10/2002(H3N2))XX,29
ABC43501,498,Human,NP,H3N2,New Zealand,S,2004,09,10,Influenza A virus (A/Canterbury/100/2004(H3N2))XX,30
ABC43501,498,Human,NP,H3N2,New Zealand,S,2004,09,10,Influenza A virus (A/Canterbury/100/2004(H3N2))XX,30
ABC43504,716,Human,PA,H3N2,New Zealand,S,2004,09,10,Influenza A virus (A/Canterbury/100/2004(H3N2))XX,30
ABC43504,716,Human,PA,H3N2,New Zealand,S,2004,09,10,Influenza A virus (A/Canterbury/100/2004(H3N2))XX,30
ABC43505,757,Human,PB1,H3N2,New Zealand,S,2004,09,10,Influenza A virus (A/Canterbury/100/2004(H3N2))XX,30
ABC43505,757,Human,PB1,H3N2,New Zealand,S,2004,09,10,Influenza A virus (A/Canterbury/100/2004(H3N2))XX,30
ABC43506,90,Human,PB1-F2,H3N2,New Zealand,S,2004,09,10,Influenza A virus (A/Canterbury/100/2004(H3N2))XX,30
ABC43506,90,Human,PB1-F2,H3N2,New Zealand,S,2004,09,10,Influenza A virus (A/Canterbury/100/2004(H3N2))XX,30
ABD15677,757,Human,PB1,H3N2,New Zealand,S,2000,10,31,Influenza A virus (A/Canterbury/101/2000(H3N2))XX,37
ABD15677,757,Human,PB1,H3N2,New Zealand,S,2000,10,31,Influenza A virus (A/Canterbury/101/2000(H3N2))XX,37
ABC43511,469,Human,NA,H3N2,New Zealand,S,2004,09,09,Influenza A virus (A/Canterbury/101/2004(H3N2))XX,22
ABC43511,469,Human,NA,H3N2,New Zealand,S,2004,09,09,Influenza A virus (A/Canterbury/101/2004(H3N2))XX,22
ABC43512,498,Human,NP,H3N2,New Zealand,S,2004,09,09,Influenza A virus (A/Canterbury/101/2004(H3N2))XX,22
ABC43512,498,Human,NP,H3N2,New Zealand,S,2004,09,09,Influenza A virus (A/Canterbury/101/2004(H3N2))XX,22
ABC43516,757,Human,PB1,H3N2,New Zealand,S,2004,09,09,Influenza A virus (A/Canterbury/101/2004(H3N2))XX,22
ABC43516,757,Human,PB1,H3N2,New Zealand,S,2004,09,09,Influenza A virus (A/Canterbury/101/2004(H3N2))XX,22
ABC43517,90,Human,PB1-F2,H3N2,New Zealand,S,2004,09,09,Influenza A virus (A/Canterbury/101/2004(H3N2))XX,22
ABC43517,90,Human,PB1-F2,H3N2,New Zealand,S,2004,09,09,Influenza A virus (A/Canterbury/101/2004(H3N2))XX,22
ABC50387,566,Human,HA,H3N2,New Zealand,S,2002,05,23,Influenza A virus (A/Canterbury/102/2002(H3N2))XX,10
ABC50387,566,Human,HA,H3N2,New Zealand,S,2002,05,23,Influenza A virus (A/Canterbury/102/2002(H3N2))XX,10
ABC50391,498,Human,NP,H3N2,New Zealand,S,2002,05,23,Influenza A virus (A/Canterbury/102/2002(H3N2))XX,10
ABC50391,498,Human,NP,H3N2,New Zealand,S,2002,05,23,Influenza A virus (A/Canterbury/102/2002(H3N2))XX,10
ABC42706,566,Human,HA,H3N2,New Zealand,S,2004,09,09,Influenza A virus (A/Canterbury/102/2004(H3N2))XX,16
ABC42706,566,Human,HA,H3N2,New Zealand,S,2004,09,09,Influenza A virus (A/Canterbury/102/2004(H3N2))XX,16
ABD15690,759,Human,PB2,H3N2,New Zealand,S,2000,11,29,Influenza A virus (A/Canterbury/103/2000(H3N2))XX,30
